"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test_obtener_tablero[test_014: obtener_tablero_con_token_invalido]","tests.api-planka.board","Sun Jan 25 03:13:25 UTC 2026","passed","Sun Jan 25 03:13:25 UTC 2026","","test_get_board","",""
"","28","test_crear_tablero_por_campo_posicion[test_008: crear_tablero_con_campo_posicion_con_valor_numerico_grande]","tests.api-planka.board","Sun Jan 25 03:13:26 UTC 2026","skipped","Sun Jan 25 03:13:26 UTC 2026","","test_post_board","",""
"","12","test_crear_proyecto_con_el_campo_tipo[test_006 : crear_proyecto_con_el_campo_tipo_publico]","tests.api-planka.project_management","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_post_project","",""
"","7","test_crear_lista_con_campo_posicion[test_008: crear_lista_con_campo_posicion_invalido]","tests.api-planka.list","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_post_list","",""
"","7","test_crear_lista_con_campo_posicion[test_009: crear_lista_con_campo_posicion_valor_negativo]","tests.api-planka.list","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_post_list","",""
"","6","test_eliminar_tarjeta_por_id_tarjeta[test_027: eliminar_tarjeta_con_id_tarjeta_invalido]","tests.api-planka.card","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_delete_card","",""
"","28","test_016_validar_tiempo_de_respuesta_al_obtener_tablero","tests.api-planka.board","Sun Jan 25 03:13:25 UTC 2026","passed","Sun Jan 25 03:13:25 UTC 2026","","test_get_board","",""
"","6","test_obtener_lista_por_id_lista[test_024: obtener_lista_con_id_lista_tipo_invalido]","tests.api-planka.list","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_get_list","",""
"","8","test_eliminar_tarjeta_por_id_tarjeta[test_025: eliminar_tarjeta_con_id_tarjeta_inexistente]","tests.api-planka.card","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_delete_card","",""
"","8","test_crear_proyecto_con_el_campo_tipo[test_008 : crear_proyecto_con_el_campo_tipo_invalido]","tests.api-planka.project_management","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_post_project","",""
"","7","test_crear_lista_por_id_tablero[test_015: crear_lista_co_id_tablero_no_existente]","tests.api-planka.list","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_post_list","",""
"","6","test_crear_lista_por_id_tablero[test_016: crear_lista_con_id_tablero_vacio]","tests.api-planka.list","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_post_list","",""
"","8","test_crear_tarjeta_con_tipo_de_tarjeta[test_007: crear_tarjeta_con_campo_tipo_invalido]","tests.api-planka.card","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_post_card","",""
"","8","test_crear_tablero_por_id_proyecto[test_011: crear_tablero_con_id_proyecto_valor_invalido_tipo]","tests.api-planka.board","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_post_board","",""
"","7","test_crear_tablero_por_id_proyecto[test_010: crear_tablero_con_id_proyecto_vacio]","tests.api-planka.board","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_post_board","",""
"","8","test_obtener_tarjeta_por_id_tarjeta[test_022: obtener_tarjeta_con_id_tarjeta_invalido]","tests.api-planka.card","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_get_card","",""
"","3","test_eliminar_tarjeta[test_024: eliminar_tarjeta_con_token_invalido]","tests.api-planka.card","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_delete_card","",""
"","7","test_obtener_lista_por_id_lista[test_022_obtener_lista_con_id_lista_no_existente]","tests.api-planka.list","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_get_list","",""
"","8","test_crear_tarjeta_por_id_lista[test_016: crear_tarjeta_con_id_lista_invalido]","tests.api-planka.card","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_post_card","",""
"","7","test_create_lista_con_campo_nombre[test_011: crear_lista_con_campo_nombre_vacio]","tests.api-planka.list","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_post_list","",""
"","8","test_crear_tablero_por_id_proyecto[test_009: crear_tablero_con_id_proyecto_no_existente]","tests.api-planka.board","Sun Jan 25 03:13:26 UTC 2026","skipped","Sun Jan 25 03:13:26 UTC 2026","","test_post_board","",""
"","6","test_crear_proyecto_con_el_campo_tipo[test_007 : crear_proyecto_con_el_campo_tipo_vacio]","tests.api-planka.project_management","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_post_project","",""
"","12","test_crear_tablero_por_campo_posicion[test_007: crear_tablero_con_campo_posicion_valor_invalido_tipo]","tests.api-planka.board","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_post_board","",""
"","24","test_obtener_tarjeta[test_017 : obtener_tarjeta_con_token_valido]","tests.api-planka.card","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_get_card","",""
"","11","test_obtener_tablero_por_id_tablero[test_017:obtener_tablero_con_id_tablero_no_existente]","tests.api-planka.board","Sun Jan 25 03:13:25 UTC 2026","passed","Sun Jan 25 03:13:25 UTC 2026","","test_get_board","",""
"","8","test_obtener_tarjeta_por_id_tarjeta[test_020: obtener_tarjeta_con_id_tarjeta_inexistente]","tests.api-planka.card","Sun Jan 25 03:13:26 UTC 2026","passed","Sun Jan 25 03:13:26 UTC 2026","","test_get_card","",""
"","12","test_crear_lista_con_campo_tipo[test_004 : crear_lista_con_campo_tipo_cerrado]","tests.api-planka.list","Sun Jan 25 03:13:27 UTC 2026","passed","Sun Jan 25 03:13:27 UTC 2026","","test_post_list","",""
